condition,seed,final_prompt,accuracy,accuracy_short,accuracy_long,fuzzy_short_accuracy,judge_score_long,tokens_in_total,tokens_out_total,cost_in_usd,cost_out_usd,cost_total_usd,latency_ms_mean,n_generations,n_llm_calls,elapsed_seconds,_path,n_survivors,pairwise_test,correction,population_size
baseline,0,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.8181818181818182,0.7037037037037037,1.0,0.7566732241758876,0.8823529411764706,9687,6887,0.005812199999999999,0.0165288,0.022341,0.0,0,44,127.92953566700001,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed0.json,,,,
baseline,1,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.7954545454545454,0.5909090909090909,1.0,0.6696784436856945,0.9713636363636362,9696,9291,0.0058176,0.0222984,0.028116,0.0,0,44,191.898290542,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed1.json,,,,
baseline,2,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.8863636363636364,0.7058823529411765,1.0,0.7455757752612207,0.9555555555555553,9712,10083,0.0058272,0.0241992,0.0300264,0.0,0,44,184.391147875,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed2.json,,,,
baseline,3,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.8636363636363636,0.7142857142857143,1.0,0.7415467394306766,0.9326086956521737,9742,9407,0.0058452,0.0225768,0.028422000000000003,0.0,0,44,196.85177416699997,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed3.json,,,,
baseline,4,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.7954545454545454,0.5263157894736842,1.0,0.5492831166646329,0.9339999999999999,9714,8973,0.0058284,0.0215352,0.027363600000000002,0.0,0,44,210.536480375,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed4.json,,,,
baseline,5,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.7272727272727273,0.4782608695652174,1.0,0.6075881389758251,0.9666666666666666,9726,8754,0.0058356,0.0210096,0.0268452,0.0,0,44,180.12011766600006,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed5.json,,,,
baseline,6,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.75,0.5925925925925926,1.0,0.625767299972862,0.9588235294117647,9691,7687,0.0058146,0.0184488,0.0242634,0.0,0,44,170.89906274999998,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed6.json,,,,
baseline,7,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.9318181818181818,0.8571428571428571,1.0,0.8668660457030868,0.958695652173913,9695,9701,0.005817,0.023282399999999998,0.029099399999999997,0.0,0,44,195.79924045799999,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed7.json,,,,
baseline,8,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.9545454545454546,0.8666666666666667,1.0,0.9542857142857142,0.9413793103448274,9712,11075,0.0058272,0.02658,0.0324072,0.0,0,44,215.36908162500004,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed8.json,,,,
baseline,9,"Responde la siguiente pregunta de la forma más precisa posible. Cuando aplique, entrega la respuesta final entre <final_answer>...</final_answer>.",0.9090909090909091,0.7777777777777778,1.0,0.8794150072535936,0.9326923076923074,9681,8653,0.0058086,0.020767199999999996,0.026575799999999997,0.0,0,44,180.30699670800004,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/baseline/seed9.json,,,,
capo,0,"Responde a la cuestión propuesta con la máxima precisión posible. Cuando proceda, presenta tu respuesta concluyente delimitada por las etiquetas <final_answer>...</final_answer>.

Instrucción adicional: Comienza exponiendo el resultado definitivo y, después, añade una breve argumentación.",0.5227272727272727,0.8518518518518519,0.0,0.8761624151823788,0.21371317635088077,11271,5391,0.0067626,0.0129384,0.019701,48191.16785795454,4,44,2120.413339833,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed0.json,4.0,wilcoxon,holm,8.0
capo,1,"Responde la pregunta con la máxima precisión posible. Cuando aplique, encierra la respuesta definitiva entre las etiquetas <final_answer>...</final_answer>.

Restricción adicional: Limita tu respuesta a un máximo de 30 palabras.",0.4090909090909091,0.8181818181818182,0.0,0.8813534504710976,0.22350105014242347,10664,5970,0.006398399999999999,0.014327999999999999,0.0207264,52104.914186545466,4,44,2292.6189132500003,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed1.json,3.0,wilcoxon,holm,8.0
capo,2,"Brinda una respuesta lo más exacta posible a la pregunta formulada. Cuando sea pertinente, presenta la respuesta definitiva delimitada por los marcadores <final_answer>...</final_answer>.

Requisito extra: Redacta la respuesta en un único párrafo.",0.38636363636363635,0.8823529411764706,0.07407407407407407,0.9317226890756302,0.2854277619188747,10504,3185,0.0063024,0.007644,0.0139464,49510.438114568155,4,44,2178.463365791,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed2.json,4.0,wilcoxon,holm,8.0
capo,3,"Facilita una contestación precisa a la interrogación expuesta. De ser pertinente, inserta la solución concluyente entre <final_answer>...</final_answer>.

Límite: tu contestación no ha de exceder las 30 palabras.",0.4090909090909091,0.8571428571428571,0.0,0.8844076558362273,0.32492117756612965,11590,3042,0.006953999999999999,0.0073008,0.014254799999999998,49801.44555493185,4,44,2191.266363625,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed3.json,4.0,wilcoxon,holm,8.0
capo,4,"Brinda una contestación lo más exacta posible a la pregunta formulada. Cuando sea pertinente, encierra la respuesta concluyente entre las etiquetas <final_answer>...</final_answer>.

Restricción complementaria: Responde con brevedad, evitando repetir el enunciado.",0.29545454545454547,0.6842105263157895,0.0,0.8019791454311302,0.25303810552185013,10814,3380,0.0064884,0.008112,0.0146004,61220.328428977235,4,44,2693.6968557499986,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed4.json,4.0,wilcoxon,holm,8.0
capo,5,"Contesta la pregunta que se presenta a continuación con la mayor exactitud que puedas. De ser posible, enmarca tu respuesta definitiva dentro de las etiquetas <final_answer>...</final_answer>.

Restricción adicional: Limita tu respuesta a un máximo de 30 palabras.

Restricción adicional: Limita tu respuesta a un máximo de 30 palabras.

Restricción adicional: Sé breve y directo, evitando reproducir el enunciado.",0.38636363636363635,0.7391304347826086,0.0,0.8347051738844607,0.1865899367626597,12278,1149,0.0073668,0.0027576000000000002,0.0101244,69514.02485038633,4,44,3058.619891250002,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed5.json,4.0,wilcoxon,holm,8.0
capo,6,"Facilita una contestación lo más exacta y rigurosa que puedas a la pregunta planteada. En caso de resultar apropiado, delimita la respuesta definitiva utilizando las marcas <final_answer>...</final_answer>.",0.5,0.8148148148148148,0.0,0.8607086219010337,0.18905985397172534,10615,6926,0.006369,0.0166224,0.0229914,72104.53572252275,4,44,3172.6032428750004,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed6.json,4.0,wilcoxon,holm,8.0
capo,7,"Desarrolla el razonamiento paso a paso y, al finalizar, muestra la respuesta entre las marcas <final_answer>...</final_answer>. Procura que la argumentación sea breve y directa.",0.38636363636363635,0.8095238095238095,0.0,0.8626258897165846,0.202825143831201,10135,10054,0.006081,0.0241296,0.0302106,86014.17390056816,4,44,3784.6283272500004,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed7.json,4.0,wilcoxon,holm,8.0
capo,8,"Responde con la mayor precisión posible a la interrogante formulada. Cuando aplique, envuelve la respuesta concluyente entre las etiquetas <final_answer>...</final_answer>.

Restricción adicional: presenta primero el veredicto y luego una breve justificación.

Devuelve únicamente el prompt reformulado, sin comillas ni etiquetas que lo envuelvan.

Restricción adicional: Responde de forma concisa, sin repetir la pregunta.",0.29545454545454547,0.8666666666666667,0.0,0.9135238095238096,0.20915656609765146,10328,10494,0.0061968,0.0251856,0.0313824,51177.02703786364,4,44,2251.7938783749996,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed8.json,4.0,wilcoxon,holm,8.0
capo,9,"Responde a la cuestión planteada con la máxima precisión posible. Cuando resulte apropiado, incluye la respuesta definitiva entre las etiquetas <final_answer>...</final_answer>.",0.3181818181818182,0.7777777777777778,0.0,0.8011618209852723,0.18394758434542313,9857,9599,0.0059142,0.0230376,0.0289518,55771.03675190913,4,44,2453.9306371659986,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/capo/seed9.json,4.0,wilcoxon,holm,8.0
crop,0,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Sintetizar en una sola definición que cubra origen, tipos, impacto y gestión.
Intenta ser tan conciso como esta versión: Deuda técnica: costo futuro de soluciones subóptimas, con 'intereses' en velocidad, defectos, seguridad y moral. Requiere visibilidad y refactorización continua.",0.6363636363636364,0.4074074074074074,1.0,0.4726305402050413,0.6911764705882353,12943,6934,0.0077658,0.0166416,0.0244074,45968.596071977285,4,220,2022.622425374997,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed0.json,,,,
crop,1,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Eliminar los pasos intermedios y centrarse únicamente en la conclusión final reduce drásticamente la longitud sin perder información esencial.
Intenta ser tan conciso como esta versión: El ruso (~150M nativos) es la lengua más hablada de Europa; el inglés puede superarlo si se cuentan segundas lenguas.",0.8863636363636364,0.7727272727272727,1.0,0.9207849168375485,0.8431818181818183,12864,2449,0.0077184,0.005877599999999999,0.013596,37797.42081911362,4,220,1663.090720791999,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed1.json,,,,
crop,2,"Eres un asistente útil. Piensa paso a paso en voz alta, justifica cada decisión con detalle, y entrega la respuesta final entre <final_answer>...</final_answer>.

Nota del editor: Conserva solo el título; el cuerpo completo sobra para una respuesta de <=80 caracteres.
Intenta ser tan conciso como esta versión: Explicación de un endpoint en una API REST",0.4090909090909091,0.7647058823529411,0.18518518518518517,0.8364497379687912,0.23888888888888887,11868,2039,0.0071208,0.0048936,0.0120144,32132.3640426136,4,220,1413.8285761660009,/Users/bctecnologia/personal/proyectos/investigacion/results/raw/crop/seed2.json,,,,
